Date,NDX,ADBE,AMD,ABNB,GOOGL,AMZN,AEP,AMGN,ADI,ANSS,AAPL,AMAT,ARM,ASML,AZN,TEAM,ADSK,ADP,BKR,BIIB,BKNG,AVGO,CDNS,CDW,CHTR,CTAS,CSCO,CCEP,CTSH,CMCSA,CEG,CPRT,CSGP,COST,CRWD,CSX,DDOG,DXCM,FANG,DLTR,DASH,EA,EXC,FAST,FTNT,GEHC,GILD,GFS,HON,IDXX,ILMN,INTC,INTU,ISRG,KDP,KLAC,KHC,LRCX,LIN,LULU,MAR,MRVL,MELI,META,MCHP,MU,MSFT,MRNA,MDLZ,MDB,MNST,NFLX,NVDA,NXPI,ORLY,ODFL,ON,PCAR,PANW,PAYX,PYPL,PDD,PEP,QCOM,REGN,ROP,ROST,SBUX,SMCI,SNPS,TTWO,TMUS,TSLA,TXN,TTD,VRSK,VRTX,WBD,WDAY,XEL,ZS
1/2/2024,16543.93945,580.0700073,138.5800018,134.4799957,137.8287048,149.9299927,80.7035675,290.9761047,191.1569366,353,184.9382172,153.5341339,68.91999817,712.8615112,66.95339203,226.6699982,234.1199951,229.5888824,33.25963593,267.7099915,3455.688965,107.3824463,262.8999939,218.9472504,391.5100098,146.1541138,48.91770172,65.77553558,73.50643921,42.67799759,114.6348648,47.50999832,85.45999908,647.7316895,246.8899994,34.26461792,115.0800018,123.0899963,151.0623322,142.5399933,96.45999908,135.2315216,35.36338043,62.4715271,57.77999878,76.2848053,80.644104,58,205.6376038,547.6900024,133.8618622,47.16828156,600.1722412,330.980011,32.51003265,556.9927979,36.83121109,70.96459961,405.8719482,505.3800049,220.1478271,58.01142883,1529.160034,345.2505188,85.2201767,82.0962677,368.8540955,112.5,72.46167755,383.6900024,58.59000015,468.5,48.15766525,218.4782715,944.9799805,198.0734711,81.44999695,95.95233154,288.9200134,115.1479263,61.45999908,145.6399994,168.9713135,138.2374878,905,531.5358887,136.6521149,91.8535614,28.54500008,498.9700012,159.2599945,160.1315002,248.4199982,165.6546478,70.58999634,236.8903503,410.9100037,11.65999985,268.2799988,61.6281929,212.3699951
1/3/2024,16368.49023,571.789978,135.3200073,133.4199982,138.5768585,148.4700012,80.89761353,294.2049255,186.5947723,343.2200012,183.5534668,150.6299438,67.91000366,699.3881836,66.87508392,220.0500031,227.1900024,228.6938324,33.24983215,263.4299927,3384.908447,104.7309723,257.2799988,215.6035614,386.6700134,143.2824554,49.29834747,65.05338287,72.7851944,42.32617569,115.2316589,46.83000183,82.76999664,641.7984009,244.3600006,34.30420685,112.4199982,120.2699966,154.1026306,136.7200012,93.76999664,135.1618195,35.08218384,61.026474,57.84999847,76.02509308,80.87662506,57.02000046,201.2395172,535.0599976,126.7898865,46.42819595,587.6271973,322.1300049,31.75013542,549.2401123,36.79256439,69.79306793,405.0098267,498.019989,217.3692017,56.60528183,1500,343.4359741,83.2609787,82.01651764,368.5855713,108.5800018,71.91213226,372.980011,57.47999954,470.2600098,47.55879211,213.4405518,943.710022,191.7887573,79.30999756,94.1181488,286.4700012,114.141716,58.63000107,148.9499969,169.0103912,135.6448517,917.5599976,528.0652466,133.7638397,91.42209625,28.06399918,492.3999939,158.3999939,160.2996368,238.4499969,163.188324,69.31999969,235.6161957,410.7099915,11.30000019,268.4100037,61.73500824,210.2400055
1/4/2024,16282.00977,567.0499878,136.0099945,133.7200012,136.0531158,144.5700073,80.90731812,296.6314697,183.7409363,344.1600037,181.2223358,148.5015259,68.38999939,696.3256226,67.32535553,222.8200073,228.9199982,229.8249664,32.59307098,260.2799988,3395.502197,103.7841721,255.9199982,213.4008942,375.75,143.8009796,48.87866974,64.74671173,72.70615387,41.66162491,114.744278,46.63999939,81.41999817,645.4419556,245.6499939,34.36359406,113.0199966,121.8300018,149.9174194,136.1799927,93.90000153,135.4207611,34.92703629,61.13460922,58.38999939,76.48458099,81.8454361,55.83000183,201.6035614,538.5,127.8501968,46.25057602,583.3328247,323.269989,31.74523354,543.1273804,36.50270081,69.23902893,404.8908997,496,218.3417206,57.97298813,1519.380005,346.0780029,82.10909271,82.46517181,365.9400024,108.6600037,71.91213226,362.4100037,57.70999908,474.6700134,47.98770523,205.2221985,935.7999878,193.8504639,76.19999695,92.9779892,283.2999878,115.1283875,58.45000076,147.7400055,167.5641174,134.2351685,912.1699829,521.2729492,134.2601013,91.73589325,28.87999916,490.1799927,158.8600006,160.5172272,237.9299927,160.9666748,68.40000153,236.8604889,416.1499939,11.35000038,267.0799866,61.88064957,210.3300018
1/5/2024,16305.98047,564.5999756,138.5800018,135.9799957,135.3947296,145.2400055,81.56707764,296.4651184,184.2149353,344.0799866,180.4950714,148.1932068,67.05000305,699.3583374,66.933815,226.1000061,229.5200043,231.3495178,32.75971222,257.8800049,3383.786377,103.8108826,252.7100067,212.3690033,372.2000122,142.5367432,48.88842773,63.91574097,71.96516418,42.06230927,115.6195755,46.54999924,81.33999634,653.067627,247.4600067,34.26461792,115.9899979,123.9800034,150.0424957,136.2899933,94.80999756,135.0622101,35.20823669,60.92816925,58.34000015,76.53452301,80.71192169,56.04000092,200.2556152,537.3599854,126.9260712,46.27030945,585.5197754,322.5,31.35295296,541.0102539,36.65729141,69.36403656,405.4161072,491.1000061,220.7234039,59.8198967,1538.829956,350.8934937,82.68996429,83.20298004,365.7510681,111.1200027,71.72567749,365.3900146,57.54000092,474.0599976,49.08646393,203.2071075,925.4000244,191.1164703,75.69999695,92.78961182,282.9299927,115.2553864,60.11999893,146.5299988,165.0917511,134.7872162,913.1699829,520.1790771,133.4958496,91.18674469,29.21299934,484.8099976,158.2100067,161.5754852,237.4900055,161.5832672,67.63999939,232.6299438,416.5,11.19999981,265.7999878,61.88064957,209.8099976
1/8/2024,16649.86914,580.5499878,146.1799927,140.0800018,138.4970551,149.1000061,81.99397278,304.1752014,186.6145172,348.6300049,184.8585205,150.7393494,72.83999634,716.7592773,67.7462616,235.5899963,235.4499969,232.8740692,31.79907036,257.980011,3438.095703,106.3406525,261.9100037,216.5064697,378.8699951,144.233078,49.24954987,65.21166229,72.80496216,42.7366333,116.4053574,47.34000015,82.90000153,658.7221069,261.2799988,34.33390045,119.25,129.6300049,149.8596802,137.5700073,98.51999664,135.9087982,35.57670212,61.40985489,61.25999832,77.2736969,81.37071228,58.20000076,199.3996124,543.960022,130.019455,47.8096962,594.8241577,328.8599854,31.19604301,558.9508057,36.95681381,71.70901489,404.5935974,491.480011,226.48909,64.00289917,1575.599976,357.5833435,84.31441498,84.69854736,372.6533508,115.4400024,72.33409882,378.4500122,57.95999908,485.0299988,52.24178314,209.5783386,927.9400024,195.5685577,77.94000244,94.93113708,289.5,116.7109756,61.74000168,147.5500031,165.2578735,137.0545349,902.8800049,526.6126099,134.7960663,92.36347198,32.02799988,499.980011,158.5399933,161.615036,240.4499969,164.9499817,68.98999786,231.6444855,419.1199951,11.39999962,272.9400024,61.73500824,218.1000061
1/9/2024,16678.69922,586.2000122,149.2599945,139.5299988,140.6018524,151.3699951,81.62528992,300.6332397,187.3847351,353.9500122,184.4401093,150.212204,71.87999725,711.8969727,67.45261383,235.3000031,235.9600067,231.3593445,30.9952755,255.8399963,3464.297119,107.0965271,261.75,216.4766846,368.6099854,144.3269196,48.71274567,64.41036987,72.28132629,42.29685974,115.8682404,47.27999878,83.72000122,664.1875,273.769989,34.2547226,121.1800003,129.6999969,146.9733124,138.0399933,103.0500031,137.1636963,35.33428955,61.46883774,59.40000153,76.57447815,83.37615967,58.41999817,198.3861847,553.039978,135.9338531,47.41497803,602.4899902,330.5599976,31.36276054,552.9674072,37.24666977,71.22221375,403.0081177,485.7099915,224.7524414,63.3639679,1573.339966,356.3570251,84.01906586,83.08334351,373.7473755,110.1800003,72.36354828,378.730011,58.74000168,482.0899963,53.12860107,209.1239624,927.9000244,194.5974731,77.02999878,94.00909424,300.4200134,115.9294434,61.04999924,150.4799957,163.3620605,137.9023285,902.6900024,529.3413696,134.8854065,91.28479767,34.3730011,501.8699951,159.2200012,161.4073486,234.9600067,165.0380707,68.44999695,233.6452789,421.0100098,11.02999973,275.8200073,61.43399811,226.2599945
1/10/2024,16793.05078,591.0300293,148.5399933,139.7599945,141.9285583,153.7299957,80.08261871,298.0012817,186.0121307,354.8599854,185.486145,148.9988098,70.76999664,713.7265015,68.09864807,244.2100067,238.8200073,231.4281921,30.61297989,254.2299957,3495.98877,106.9065628,263.2600098,218.5503845,367,144.9466858,49.03482819,64.26197815,72.46903992,42.4923172,115.2316589,47.93000031,82.70999908,669.7424927,282.0400085,34.34379578,120.1900024,128,145.626358,137.6199951,105.5899963,137.0740662,35.52822113,62.00950241,61.36999893,76.08502197,81.86482239,57.18000031,199.1437836,554.2399902,136.7996063,46.84264374,605.9943237,364.4500122,31.15681458,552.7188721,36.60898209,71.00154114,402.2054443,484.1000061,225.0402222,63.32403564,1598.160034,369.3579102,84.11752319,82.13615417,380.6893921,109.4599991,71.71586609,393.1499939,58.90999985,478.3299866,54.33833694,208.7090607,936.5499878,194.7269287,75.61000061,93.79097748,316.0899963,116.144371,60.95999908,149.1900024,163.1177521,137.3305511,906.1599731,528.1263428,134.9449615,91.6868515,34.23799896,505.1799927,159.2100067,161.4963379,233.9400024,163.6874695,68.48000336,232.8887634,423.7600098,10.97000027,276.8099976,60.89995956,225.3999939
1/11/2024,16820.90039,597.4899902,148.0200043,139.4499969,141.7290649,155.1799927,78.00634003,296.5629578,186.5947723,357.7900085,184.8884125,151.127243,69.76999664,714.4623413,67.71689606,242.1600037,240.6499939,231.4773712,30.55416489,247.2100067,3526.896729,108.8269043,266.7900085,219.4433594,367.6199951,145.2503967,49.23003006,64.84564209,73.98065948,42.28708649,112.3073502,47.81999969,82.11000061,670.5587769,284.519989,34.21512985,120.8799973,128.9299927,145.6552277,135.2200012,103.9800034,137.1836243,35.1112709,62.29458237,62.25,76.16493225,82.72705078,56.95000076,198.4255219,558.710022,137.1692657,47.01039886,606.0043335,362.3099976,31.3333416,558.7322388,36.30946732,71.99692535,402.2846985,485.480011,225.2486267,65.75996399,1591.680054,368.5603027,84.37348938,83.14316559,382.5393066,106.7949982,71.42147064,392.6000061,58.63000107,492.230011,54.81023788,208.9066315,944.6099854,193.6413116,74.43000031,93.79097748,323.4899902,116.3885956,61.34999847,151.3300018,162.3457642,137.0545349,915.9699707,530.2177734,135.7489014,91.13771057,34.33100128,498.4599915,161.5399933,160.3886566,227.2200012,162.0726013,68.08000183,233.137619,430.0799866,10.53999996,278.9700012,59.22986984,228.5200043
1/12/2024,16832.91992,596.539978,146.5599976,137.1399994,142.2976379,154.6199951,79.06388092,299.8994141,186.0022736,346.480011,185.2171631,150.4310303,70,709.182373,67.95182037,237,242.4400024,232.0773621,30.89725113,248.1199951,3477.372803,109.5886993,268.5,217.4291992,364.8999939,146.4232635,49.13243103,66.50759125,77.03355408,42.01345062,112.3073502,47.56999969,83.40000153,680.1755371,283.3500061,34.5021553,123,125,148.0124054,135.7599945,104.1299973,137.3628845,34.97551727,62.44203568,62.43999863,76.11497498,83.68618011,57.38999939,197.8647156,535.289978,134.2801514,46.49726486,609.0805054,363.7099915,31.29411125,557.2114258,36.40608978,71.94673157,405.217926,479.9400024,223.7799072,65.57028198,1658.579956,373.3658447,84.08798981,82.14613342,386.358429,105.9499969,71.75512695,391.5899963,59.04999924,492.1600037,54.69825745,206.5556946,953.0599976,193.6562347,73.47000122,93.24568176,325.2399902,116.9551926,61,148.6300049,163.4597931,138.2079163,933.2000122,532.0004272,135.560318,90.19632721,33.95600128,494.3999939,161.6799927,160.7545776,218.8899994,161.3581543,66.95999908,235.6858978,433.3999939,10.64999962,283.2399902,59.53087616,230.7700043
1/16/2024,16830.71094,597.6799927,158.7400055,135.0200043,142.1380463,153.1600037,78.56907654,296.9347839,185.4394073,327.4200134,182.9358215,152.9274292,68.48000336,702.5004883,65.84729004,240.5599976,241.5,231.4183655,30.06404495,246.1900024,3478.663818,110.30896,277.5599976,218.9968719,368.3399963,145.3294067,49.37643051,66.53726959,75.28481293,42.11117172,111.2132187,47.90000153,81.76000214,678.4333496,286.2900085,34.38338852,123.7900009,124.4599991,145.4339447,135.9600067,104.0199966,136.595993,34.61674881,62.68779373,62,74.91584015,83.30834198,55.61000061,194.5882721,520,131.459137,46.43806458,601.1460571,362.3299866,31.21565628,563.3738403,36.33845139,72.08594513,402.9684448,470.730011,224.6134949,65.41053772,1672.670044,366.3569336,83.84185028,84.35955811,388.1486206,102.1600037,71.49016571,405.4400024,58.16999817,481.2399902,56.36990356,206.4371796,990.25,190.6333923,73.80000305,93.24568176,332.0499878,117.0431213,58.45000076,143.1600037,162.3848419,139.1148224,937.3200073,535.0678101,136.0565948,90.90235901,32.63100052,509.6799927,161.8800049,161.2886505,219.9100037,160.3892517,63.75999832,235.9446869,437.4899902,10.35000038,280.8900146,59.14248276,232.1799927
