Date,NDX,ADBE,AMD,ABNB,GOOGL,AMZN,AEP,AMGN,ADI,ANSS,AAPL,AMAT,ARM,ASML,AZN,TEAM,ADSK,ADP,BKR,BIIB,BKNG,AVGO,CDNS,CDW,CHTR,CTAS,CSCO,CCEP,CTSH,CMCSA,CEG,CPRT,CSGP,COST,CRWD,CSX,DDOG,DXCM,FANG,DLTR,DASH,EA,EXC,FAST,FTNT,GEHC,GILD,GFS,HON,IDXX,ILMN,INTC,INTU,ISRG,KDP,KLAC,KHC,LRCX,LIN,LULU,MAR,MRVL,MELI,META,MCHP,MU,MSFT,MRNA,MDLZ,MDB,MNST,NFLX,NVDA,NXPI,ORLY,ODFL,ON,PCAR,PANW,PAYX,PYPL,PDD,PEP,QCOM,REGN,ROP,ROST,SBUX,SMCI,SNPS,TTWO,TMUS,TSLA,TXN,TTD,VRSK,VRTX,WBD,WDAY,XEL,ZS
1/3/2023,10862.63965,336.9200134,64.01999664,84.90000153,88.89987183,85.81999969,88.44329071,247.431015,157.4187927,238.6399994,123.9046326,95.32270813,,541.0913696,66.45645905,126.5,185.1499939,228.5644684,27.50885391,272.6300049,2017.688477,53.54018402,159.6399994,175.9634857,341.5799866,107.9811478,45.04787827,52.10990906,55.91980743,33.80764771,80.49238586,30.72999954,77.65000153,437.8975525,103.2799988,30.13261986,72.08999634,114.7300034,119.7679901,140.2599945,48.36000061,121.5509949,40.39479065,45.13497543,48.52000046,55.87014389,79.65039825,51.70000076,206.2971497,406.0100098,195.3988342,25.77514648,386.0395813,265.6300049,33.79277039,369.7805176,37.69187546,38.96807098,311.1637268,323.3800049,145.0935059,35.70384216,826.1099854,124.3655472,66.71572876,49.87538528,236.1835327,178.9900055,63.55087662,190.75,50.65999985,294.9500122,14.30558109,150.0053558,840.7199707,140.0829163,61.61000061,62.1151619,138.4499969,109.7910538,74.58000183,84.52999878,170.4306488,102.9228363,720.4699707,429.4891663,113.6209793,96.84288025,8.38599968,319.6799927,103.1100006,136.9150238,108.0999985,154.8736572,44.02000046,175.435257,286.019989,9.539999962,169.3500061,65.7859726,110.1900024
1/4/2023,10914.7998,341.4100037,64.66000366,88.72000122,87.86243439,85.13999939,89.04924774,250.0221405,160.7716522,242.9400024,125.1826096,97.8651886,,562.0233765,66.61940765,126.4000015,187.9600067,229.6416016,26.68597984,270.8099976,2095.359375,54.19409943,159.2299957,177.5710602,354,106.7401733,45.03841019,53.35609436,56.37617874,34.77711105,81.96642303,30.98999977,78,441.0662231,104.3649979,30.5229435,68.95999908,114.3300018,119.0751419,140.5200043,48.93000031,123.7385101,40.92826462,45.67771912,48.29999924,60.34973907,79.75300598,52.90999985,202.196228,422.4299927,197.0914459,26.69120979,386.42453,270,34.06843185,373.3944092,38.11704254,39.73558426,309.6193848,320.980011,147.1655579,36.31890869,837.4400024,126.9876556,68.34741974,53.6677742,225.8520813,177.3600006,64.01132965,187.2100067,51.07500076,309.4100037,14.73929596,152.8206329,826.7399902,143.1918182,62.20000076,61.97634125,138.5399933,110.9855652,77.69000244,91.05999756,170.0126648,107.0800552,726.4899902,437.674408,115.7201691,100.3293381,8.225000381,320.9299927,106.7699966,137.8209839,113.6399994,160.5292358,44.31000137,178.3139954,286.8299866,10.38000011,171.2200012,66.34927368,111.5899963
1/5/2023,10741.21973,328.4400024,62.33000183,87.70999908,85.98708344,83.12000275,87.42712402,252.3578796,154.7442932,231.6499939,123.8551025,96.49539948,,556.5982666,66.91655731,119.9700012,182.0700073,224.6887054,27.55669403,271.5899963,2129.612793,53.68915558,156.8000031,174.5421295,361.4299927,104.2630463,44.40379715,53.60533142,55.90039444,35.14778519,80.98374176,30.27499962,74.90000153,434.912384,94.88999939,30.16189766,63.5,111.6900024,122.1928787,142.5599976,47.13000107,123.4118652,40.03913116,44.08752441,47.45000076,58.86319351,80.07948303,51.02000046,196.834259,419.2000122,195.6712036,26.57549858,370.684082,268.6199951,33.73387527,366.7559204,38.20022964,39.22767258,298.5940247,325.9299927,146.203186,34.46073151,856.0900269,126.5589523,66.71572876,54.17276764,219.158371,173.5099945,63.49332428,172.1799927,50.18999863,309.7000122,14.25561523,148.5154266,834.289978,139.5672913,59.74000168,61.70497513,135.1100006,108.4164124,76.26999664,95.43000031,168.2362671,105.0350494,723.7600098,430.9324341,116.1419754,100.3005295,8.024999619,315.0400085,105.9599991,142.2718964,110.3399963,158.4036407,42.59000015,175.7320251,287.8900146,10.85999966,160.1900024,65.00670624,104.3899994
1/6/2023,11040.34961,332.75,63.95999908,88.51999664,87.12425995,86.08000183,89.99082947,260.2446594,160.3937225,239.4100037,128.4122467,102.7530136,,586.6572266,67.86552429,121.2799988,187.1900024,230.9687958,28.66661644,279.25,2163.677734,56.92102814,159.6600037,179.6001892,367.730011,106.2856522,45.76774216,54.47766876,58.01716995,36.01269531,82.05485535,31.19499969,77.12000275,466.4833679,94.72000122,31.42067719,64.13999939,115.8199997,125.9305115,145.8300018,48,122.6299057,40.87211227,45.33492279,48.68999863,58.81331253,82.15959167,52.75,202.4176636,447.769989,196.3715973,27.70369911,381.4408264,270.3900146,34.66109467,390.4422607,39.36480713,41.88103867,309.0231934,329.2600098,150.6222992,35.87174988,873.4699707,129.6296997,70.25910187,56.21254349,221.7412109,180.3500061,65.24876404,169.8200073,51.21500015,315.5499878,14.84922314,154.4363403,842.5200195,149.0971832,62.47000122,63.30786133,134.8500061,111.3458176,76.48000336,95.95999908,172.0360565,110.7380524,737.1500244,439.2820435,119.251503,102.4711533,8.43900013,320.5400085,104.75,146.299408,113.0599976,166.2132874,42.29000092,180.9157562,290.2099915,11.31999969,161.1399994,66.9313736,103.9599991
1/9/2023,11108.4502,341.980011,67.23999786,89.23999786,87.80258179,87.36000061,91.31465149,255.4407806,161.9247742,247.9900055,128.9372864,104.9407196,,611.7441406,67.96138763,127.1699982,192.4700012,230.3436432,29.22158051,274.7200012,2192.629395,55.80472183,165.9199982,180.3255615,367.1799927,106.1341324,46.01400375,54.04629135,59.09497452,35.68954086,82.54621124,31.21999931,77.08000183,462.5031433,96.56999969,31.36212921,65.94000244,110.0599976,128.984436,143.9700012,48.04999924,122.9070511,41.32136154,45.65868378,49.40999985,57.96527481,79.37989044,55.38000107,202.8027191,448.0799866,201.6634216,28.26298141,390.9338684,264.9299927,34.44123459,400.9891968,39.00434113,42.55449677,314.6531677,298.6600037,149.7875671,36.68656158,897.3099976,129.0813599,71.2535553,55.80656433,223.9001617,183.9499969,64.50054169,178.0700073,50.57500076,315.1700134,15.61771774,155.7326965,828.710022,151.9085541,64.65000153,62.97340012,135.0800018,111.3078995,77.08000183,95.51999664,170.35466,110.037178,680.4899902,439.0246277,116.4656754,100.5982666,8.477000237,325.9500122,105.0999985,146.4963379,119.7699966,167.6556396,43.99000168,180.0946503,283.230011,11.60999966,162.9299927,67.57918549,104.75
1/10/2023,11205.78027,338.7000122,68.05000305,88.54000092,88.20159149,89.87000275,90.69003296,258.9963989,163.979126,248.3999939,129.5118713,106.4681702,,623.6181641,68.63236237,132.1600037,193.4299927,231.5650635,29.53733253,281.4599915,2205.079834,55.61512375,164.3200073,182.6977539,374.6400146,107.0143509,46.23185349,53.68202591,59.43482208,36.0031929,81.64213562,30.80999947,77.83000183,465.0632629,95.66999817,31.615839,66.76999664,110.8799973,129.4037323,145.8800049,48.04000092,122.7585754,40.89083099,46.18239594,48.41999817,59.86087036,81.28276825,55.40999985,203.4476929,469.1099854,189.1537018,28.38834,384.3480835,271.3599854,34.1162262,408.7865295,39.12450027,43.13576889,314.7606506,309.480011,150.4062347,36.77599716,915.7800293,132.5907898,72.84661865,56.64822006,225.6056519,189.6499939,64.56768036,182.0899963,50.26499939,327.5400085,15.89853382,160.6667786,826.8800049,152.0225983,64.26999664,63.41514587,134.1900024,111.2130966,77.91999817,94.08999634,168.9487457,112.2454071,698.9500122,439.0741272,117.505455,101.8084412,7.836999893,327.6300049,105.5299988,147.2742615,118.8499985,169.2877808,44.84000015,181.5686646,288.75,12.56000042,160.2100067,67.70124054,104.9700012
1/11/2023,11402.51953,342.9299927,69.05999756,94.44000244,91.29393768,95.08999634,91.01631165,258.0791016,164.5314484,252.1600037,132.2461548,108.4587708,,634.7340088,67.53002167,141.7799988,199.9299927,235.6716614,29.49905968,285.0299988,2208.912354,55.92564011,168.4700012,186.814743,378.4299927,109.1764069,46.61072922,53.7107811,59.71641541,36.06972122,82.65431213,31.18000031,80.75,467.8745117,97,31.66462517,69.02999878,106.1600037,129.6681366,147.9400024,51.79999924,124.8273239,41.31200027,46.75372696,48.79999924,64.83929443,81.32941437,57.06999969,204.3718262,463.019989,198.492218,28.78369141,390.9042358,259.9599915,34.19270325,411.6147461,39.33708191,43.67095184,322.1792603,311.9599915,155.6207733,38.17707825,936.7999878,132.4910889,72.7983551,57.48987198,232.4275513,186.6399994,64.8170929,188.8200073,50.84500122,327.2600098,15.99047089,163.2402344,825.5,155.235611,64.62999725,63.77485657,136.7100067,113.4599152,78.54000092,93.01999664,169.1387329,113.6663589,709.9400024,447.6385803,117.2602234,102.0965881,7.56099987,334.3500061,105.2600021,146.5258789,123.2200012,169.7337799,47.31000137,184.4672089,292.25,12.60000038,163.9199982,68.33028412,108.0500031
1/12/2023,11459.61035,344.5400085,70.80000305,98.48999786,90.9048996,95.26999664,89.87897491,256.1972656,163.4461517,251.9700012,132.1669006,108.5967331,,642.4923706,67.17537689,146.4799957,199.9600067,234.9118652,30.14013481,288.0799866,2240.643799,56.29323196,168.0599976,189.5692444,385.4700012,107.3173752,46.41181946,53.7682991,63.21200943,36.77305603,82.88032532,31.28000069,80.31999969,466.0582581,97.98000336,31.70366096,69.20999908,107.1399994,132.4850006,146.6199951,52.02999878,125.1341705,40.60069275,46.67755508,48.40000153,65.49777222,79.95822144,58.29000092,207.9143982,469.7099915,188.4727631,29.20797539,392.278717,256.9400024,34.00152206,411.5361328,39.21693039,44.21084595,321.485321,314.9899902,157.1134491,39.06145859,1024.310059,136.2996063,72.64388275,56.70763397,235.1286774,188.0599976,64.04010773,190.6100006,50.02000046,330.1300049,16.50013542,164.6720734,810.8499756,155.3198853,64.93000031,63.98309708,136.6000061,113.6210785,79.77999878,93.45999908,166.9823151,116.7386856,714.5700073,446.7673645,116.4852905,101.6643677,8.045000076,333.1000061,104.2900009,147.618927,123.5599976,169.0316162,46.70000076,180.9949188,296.25,13.14999962,163.5899963,67.55101776,104.6600037
1/13/2023,11541.48047,344.3800049,71,100.3700027,91.89246368,98.12000275,88.41532135,256.9632263,163.7465515,254.1000061,133.5043488,108.3700867,,649.5123901,68.13392639,148,200.5899963,235.9697876,30.26452255,288.0400085,2284.895264,56.00883102,169.2599945,191.000412,388.4700012,107.964325,46.29815674,53.96001816,62.20216751,37.0011673,83.68614197,31.40999985,81.05000305,468.7826233,99.52999878,31.63535118,70.47000122,108.4700012,132.4029999,147.2599945,52.34000015,124.1839294,40.60069275,46.48710632,48.86999893,65.28826141,80.47125244,59.13999939,208.520874,479.0799866,195.6322937,29.03440666,388.8276367,258.8999939,34.1162262,412.488739,39.20768356,44.55227661,326.5679321,315.4700012,158.8712616,40.41285324,1082.920044,136.5688171,72.33491516,56.37097168,235.8384857,192,64.32788086,197.5299988,51.04000092,332.8200073,16.88788033,166.2296906,815.4699707,156.3611755,65.15000153,64.79084778,138.8600006,114.0571747,79.48000336,97,166.4693604,115.4425507,722.1300049,446.5197449,117.7212677,102.9898071,8.057999611,332.9700012,105.0299988,147.3924255,122.4000015,169.8666382,47.02999878,181.9742584,300.9400024,13.14000034,167.1499939,66.81871796,107.3000031
1/17/2023,11557.19043,344.3800049,71.58999634,101.2699966,91.06451416,96.05000305,88.43396759,254.7787628,161.7406464,252.6799927,134.6733551,107.8182373,,648.0354614,67.80800629,152.9100037,200.6999969,227.7181549,30.12099838,289.5899963,2317.341797,56.03204727,172.9700012,193.715683,388.3500061,106.9927139,45.54041672,54.75566101,61.13407135,37.01066971,81.92711639,31.54999924,79.62000275,470.2510071,104.4300003,31.81099319,73.05999756,109.5100021,132.8496552,147.7299957,54.47000122,122.4418335,40.39479065,45.91578293,50.09999847,63.18315125,79.66905975,59.04000092,204.3140717,480.1900024,200.8171234,28.54262352,385.8511963,261.730011,34.15446472,408.472229,39.12450027,44.3001976,322.5507507,323.8200073,158.0954742,40.77057648,1070,134.9536743,71.91975403,56.29175186,236.9426117,190.6900024,64.289505,202.8399963,51.08499908,326.2200012,17.69035149,164.7881775,809.7399902,155.9793549,65.87000275,64.12192535,142,112.2654037,80.18000031,94.84999847,167.2483368,115.480957,728.1099854,440.6583252,117.4760284,102.5287933,8.482999802,337.2999878,104.5400009,144.7336884,131.4900055,166.4410248,47.06999969,179.6198273,311.980011,13.22999954,166.6900024,66.74359894,113.5100021
